store_name,category,new_open,rating,visited_review,blog_review,store_id,address,business_hours,phone_num,lat_lng
크림베이글 위례점,베이커리,없음,0.0,"1,342",142,1954291090,서울 송파구 위례광장로 230 위례2차아이파크상가 2동 1층 B-121호,"화
08:30 - 18:00 /수
08:30 - 18:00 /목
08:30 - 18:00 /금
08:30 - 18:00 /토
08:30 - 18:00 /일
08:30 - 18:00 /월
정기휴무 (매주 월요일) /",0507-1378-7382,"{'x': 37.4783867, 'y': 127.1434008}"
퀴즈노스 위례점,샌드위치,없음,4.45,376,29,1155479473,서울 송파구 위례광장로 136,"화
10:00 - 21:00
20:45 라스트오더 /수
10:00 - 21:00
20:45 라스트오더 /목
10:00 - 21:00
20:45 라스트오더 /금
10:00 - 21:00
20:45 라스트오더 /토
10:00 - 21:00
20:45 라스트오더 /일
10:00 - 21:00
20:45 라스트오더 /월
10:00 - 21:00
20:45 라스트오더 /",02-6014-5900,"{'x': 37.4760088, 'y': 127.1417158}"
오붓식당 본점,양식,없음,0.0,"1,375",693,1512483219,서울 송파구 위례광장로 120 중앙푸르지오 1단지 상가2층 203호 오붓식당,"화
10:30 - 21:30
15:00 - 17:00 브레이크타임
20:20 라스트오더 /수
10:30 - 21:30
15:00 - 17:00 브레이크타임
20:20 라스트오더 /목
10:30 - 21:30
15:00 - 17:00 브레이크타임
20:20 라스트오더 /금
10:30 - 21:30
15:00 - 17:00 브레이크타임
20:20 라스트오더 /토
10:30 - 21:30
15:00 - 17:00 브레이크타임
20:20 라스트오더 /일
10:30 - 21:30
15:00 - 17:00 브레이크타임
20:20 라스트오더 /월
10:30 - 21:30
15:00 - 17:00 브레이크타임
20:20 라스트오더 /",0507-1378-6232,"{'x': 37.4750397, 'y': 127.14116}"
깜보 위례 삼겹살,"육류,고기요리",없음,0.0,"1,715","1,326",1947218778,경기 성남시 수정구 위례광장로 104 위례 한화 오벨리스크 센트럴스퀘어 1023호,"화(3/18)
14:20 - 24:00 /수
14:30 - 23:30 /목
14:30 - 23:30 /금
14:30 - 23:30 /토
11:30 - 23:30 /일
11:30 - 23:30 /월
14:30 - 23:30 /",0507-1378-3987,"{'x': 37.4727099, 'y': 127.1415588}"
쭈불리 위례점,주꾸미요리,없음,0.0,712,80,1066564208,"경기 성남시 수정구 위례광장로 311 상가동 1층 101,102호 쭈블리","매일
11:00 - 23:00
22:00 라스트오더 /",0507-1337-7412,"{'x': 37.4722625, 'y': 127.1447735}"
미도인 위례,양식,없음,0.0,"1,620","1,043",1304905395,"서울 송파구 위례광장로 290 상가동 1층 148, 149호","매일
11:00 - 21:00
20:30 라스트오더 /",0507-1369-8854,"{'x': 37.474597, 'y': 127.1432345}"
라벨로,"스파게티,파스타전문",없음,4.61,"1,064",309,1894835453,경기 성남시 수정구 위례광장로 310 우성트램타워 A동 2층,"화
11:00 - 21:00
15:00 - 16:30 브레이크타임
20:10 라스트오더 /수
11:00 - 21:00
15:00 - 16:30 브레이크타임
20:10 라스트오더 /목
11:00 - 21:00
15:00 - 16:30 브레이크타임
20:10 라스트오더 /금
11:00 - 21:00
15:00 - 16:30 브레이크타임
20:10 라스트오더 /토
11:00 - 21:00
20:10 라스트오더 /일
11:00 - 21:00
20:10 라스트오더 /월
정기휴무 (매주 월요일) /",031-755-0729,"{'x': 37.472839, 'y': 127.1424342}"
화이트리에 위례점,베이커리,없음,0.0,152,74,1114561065,서울 송파구 위례광장로 170 힐스테이트 상가 A동 1층 A115호,"화
10:00 - 21:00 /수
10:00 - 21:00 /목
10:00 - 21:00 /금
10:00 - 21:00 /토
10:00 - 21:00 /일
10:00 - 21:00 /월
10:00 - 21:00 /",02-402-6968,"{'x': 37.4785738, 'y': 127.142863}"
깜보 위례 삼겹살,"육류,고기요리",없음,0.0,"1,715","1,326",1947218778,경기 성남시 수정구 위례광장로 104 위례 한화 오벨리스크 센트럴스퀘어 1023호,"화(3/18)
14:20 - 24:00 /수
14:30 - 23:30 /목
14:30 - 23:30 /금
14:30 - 23:30 /토
11:30 - 23:30 /일
11:30 - 23:30 /월
14:30 - 23:30 /",0507-1378-3987,"{'x': 37.4727099, 'y': 127.1415588}"
제줏간 위례중앙광장점,돼지고기구이,없음,0.0,"3,263","2,495",1690538184,서울 송파구 위례광장로 290 상가동 1층 145호~147호,"매일
12:00 - 24:00
23:00 라스트오더 /",0507-1382-2898,"{'x': 37.474597, 'y': 127.1432345}"
